Pear & Gorgonzola Salad  ,梨&戈尔根朱勒干酪沙拉（w /坚果）（素）,梨和奶酪沙拉
Bulgur/Mint/Dried Fruit Salad ,保鲜/薄荷/干果沙拉（w /坚果）（素）,干小麦碎／薄荷／果脯沙拉
Sliced Genoa Salami,切丝热那亚萨拉米香肠,热那亚式萨拉米香肠切片
Cheddar Cheese ,切达干酪（素）,车达芝士
Sliced Pepper Jack Cheese ,切胡椒杰克奶酪（素）,胡椒奶酪切片
Chicken Shoyu,鸡Sho yu,酱油鸡
Pineapple Fried Rice w/Tofu ,菠萝炒饭与豆腐（素）,菠萝炒饭（内含豆腐）
Egg Rolls ,蛋卷（素）,炸春卷
Stir Fried Bok Choy ,炒ok y（素）,炒白菜
Fresh Cauliflower & Carrots ,新鲜花椰菜,新鲜的花椰菜和胡萝卜
Stir Fry Vegetables ,炒蔬菜（素）,炒青菜
Pizza Line,披萨线,披萨
BBQ Chicken Pizza,烧烤鸡肉披萨,烤鸡肉披萨
Vegetable Pizza ,蔬菜披萨（素）,蔬菜披萨
Three Cheese Pizza ,三奶酪披萨（素）,三种奶酪披萨
Vegan Pizza (Available Upon Request),素食薄饼（可根据要求提供）,素食披萨
Grilled Amer/Swiss Cheese Sandwich ,烤美味/瑞士奶酪三明治（素）,烤美国芝士三明治／烤瑞典芝士三明治
Mushroom Barley Soup ,蘑菇大麦汤（素）,蘑菇大麦浓汤
Hawaiian Sweet Bread ,夏威夷甜面包（素）,夏威夷甜面包
M&M Bar  ,M,MM豆 bar
Chocolate Cream Cheese Cupcake ,巧克力奶油蛋糕（素）,巧克力乳酪杯子蛋糕
Bulgur/Mint/Drd Fruit Salad ,保鲜/薄荷/水果沙拉（w /坚果）（素）,干小麦碎／薄荷／果脯沙拉
Thai Noodle Salad  ,泰式面条沙拉（w /坚果）（素）,泰式面条沙拉
Chicken Marsala,鸡马尔萨拉,烤香草乳酪鸡胸
Cheese Ravioli w/ Tomato Cream Sauce ,奶油馄饨（番茄酱）（素）,奶酪小方饺配番茄奶油酱
Linguini ,Linguini（素）,意大利面
zSpicy Tomato Sauce ,zSpicy番茄酱（素）,辣番茄酱
Green Beans in Brown Butter ,棕色黄油中的绿豆（素）,布朗黄油烩青豆
zPork Balchao,zPork Ba\u200b\u200blchao,炖猪肉
Mushroom Curry ,蘑菇咖喱（素）,咖喱蘑菇
Basmati Rice with Peas ,豌豆（素）,豌豆配印度香米
Indian Lentils ,印度扁豆（素）,印度小扁豆
Naan Bread ,Na面包（素）,烤饼
Beef Enchilada,牛肉芝士,以辣椒调味的一种墨西哥菜配牛肉
Cheese Enchilada ,芝加哥（素）,以辣椒调味的一种墨西哥菜加芝士
Mexican Rice,墨西哥饭,墨西哥风味饭
Turkey Vegetable Soup,土豆蔬菜汤,火鸡蔬菜汤
Wild Savory Rice ,野味咸米（素）,野生香薄荷饭
Pasta with Olive Oil ,橄榄油意大利面（素）,橄榄油配意面
Almond Braids  ,杏仁辫子（w /坚果）（素）,杏仁面包
Coconut Cream Pie  ,椰子奶油馅饼（w /坚果）（素）,椰子奶油馅饼
Avocado And Tomato Salad ,鳄梨和番茄沙拉（素）,牛油果番茄沙拉
Vegetable Soup ,蔬菜汤（素）,蔬菜汤
Philly Cheese Steak Sandwich,费城干酪牛排三明治,牛排芝士三明治
Fresh Broccoli Spears ,新鲜西兰花Spears（素）,新鲜的西兰花茎
Grits ,砂砾（素）,粗玉米粉
French Toast ,法国吐司（素）,法国吐司
Cage Free Scrambled Eggs w/Ham & Cheese,炒鸡蛋与火腿起司,炒鸡蛋配芝士火腿
Fried Potatoes with Onions ,炒土豆与洋葱（素）,洋葱炒土豆
Brunch Coffee Cake ,早午餐咖啡蛋糕（素）,咖啡蛋糕
Lemon Scone ,柠檬饼（素）,柠檬松饼
Granulated Peanut,颗粒花生,花生颗粒
Brown Sugar,红糖,红糖
Teriyaki Beef,红烧牛肉,照烧牛肉
Stir Fry Noodles with Vegetables ,搅拌炒面（蔬菜）,蔬菜炒面
Turkey Meatloaf,火鸡肉饼,火鸡肉卷
Baby Carrots with Tarragon ,宝贝胡萝卜与塔拉贡（素）,小胡萝卜配龙蒿
Corn ,玉米（素）,玉米
Risotto with Fresh Vegetables ,新鲜蔬菜烩饭（素）,蔬菜烩饭
Tomato Rice Soup ,番茄大米汤（素）,番茄饭汤
Penne Pasta ,尖管通心粉（素）,通心粉
Creamy Rosemary Sauce ,奶油迷迭香酱（素）,奶油迷迭香酱
Sausage Mushroom Pizza,香肠蘑菇披萨,香肠蘑菇披萨
Tomato Basil Pizza on Wheat ,番茄罗勒披萨小麦（素）,番茄罗勒小麦披萨
Cornbread w/ Honey Butter,玉米面包/蜂蜜黄油,玉米面包配蜂蜜黄油
Banana Macadamia Nut Cake  ,香蕉澳洲坚果蛋糕（w /坚果）（素）,香蕉坚果蛋糕
Garbanzo Bean,Garbanzo豆,鹰嘴豆
Celery,芹菜,芹菜
Daikon Sprout,萝卜芽,萝卜芽
Lentil and Brown Rice Soup ,扁豆和糙米汤（素）,扁豆糙米汤
Shaved Turkey on 100% Whole Wheat,刮火鸡100％全麦,火鸡配全麦
Fresh Steamed Carrots ,新鲜的胡萝卜（素）,蒸胡萝卜
Sausage and Mushroom Pizza,香肠和蘑菇披萨,香肠蘑菇披萨
Cream of Wheat ,小麦奶油（素）,面粉加维生素无机盐制成的早点
Fresh Scrambled Eggs ,新鲜炒鸡蛋（素）,炒鸡蛋
Apple Cinnamon Pancake ,苹果肉桂煎饼（素）,肉桂苹果薄煎饼
Bacon,培根,培根
Diced Potatoes with Onions ,洋葱切成土豆（素）,洋葱土豆丁
Waffles ,华夫饼（素）,华夫饼
Red Potato Salad with Dill ,莳萝红土豆沙拉（素）,土豆沙拉配小茴香
Sliced Cantalope ,切片Cantalope（素）,切香瓜
Sliced Honeydew ,切蛋白（素）,切甜瓜
Grapefruit Halves ,葡萄柚一半（素）,半个葡萄柚
Banana Chocolate Chip Muffin ,香蕉巧克力松饼（素）,香蕉巧克力松饼
Spaghetti Soup ,意粉汤（素）,意粉汤
Lemon Pepper Rotisserie Chicken,柠檬胡椒烤鸡,柠檬胡椒烤鸡
Roasted Potato Halves ,烤马铃薯（素）,切半烤土豆
Spinach Noodle Casserole ,菠菜面条砂锅（素）,菠菜面条煲
Steamed Cauliflower and Broccoli ,花椰菜和西兰花（素）,蒸花椰菜和西兰花
Beef And Bean Burrito,牛肉和炸薯条,牛肉豆子煎饼
Black Bean Enchilada ,黑豆Enchilada（素）,黑豆玉米卷饼
Mexican Rice ,墨西哥米（素）,墨西哥饭
Roasted Chile Negro Salsa ,烤智利黑人萨尔萨酱（素）,
Chicken Fried Rice,鸡肉炒饭,鸡肉炒饭
Panfried Noodles with Vegetables ,蔬菜面粉（素）,蔬菜煎面
Cracked Wheat Bread ,破碎的小麦面包（素）,小麦面包
Chocolate Mousse Pie,巧克力慕斯馅饼,巧克力慕斯馅饼
Creamy Peanut Butter,奶油花生酱,醇厚花生酱
Sliced Mushroom,切菇,蘑菇切片
Whole Kernel Corn,全粒玉米,玉米粒
Red Kidney Bean,红芸豆,红芸豆
Shoestring Beet,烧甜菜,甜菜
zOrange Cream Fruit Salad ,zOrange奶油水果沙拉（素）,香橙奶油水果沙拉
Pasta Salad w/ Ginger & Onions ,意大利面沙拉配姜,通心粉沙拉配姜和洋葱
Sliced Italian Dry Salami,切意大利干腊肠,意大利干腊肠切片
Natural Swiss Cheese ,天然瑞士奶酪（五）,天然瑞士奶酪
Whole Wheat French Toast ,全麦法国吐司（素）,全麦法国吐司
Potatoes OyinhaoBrien ,土豆OyinhaoBrien（素）,
Monte Cristo Sandwich,基督山三明治,蒙特克里斯托三明治
zLinguini w/Bacon Tomato Cream Sauce,zLinguini w /培根番茄酱酱,通心粉配培根番茄奶油酱
Roasted Vegetables ,烤蔬菜（素）,烤蔬菜
Egg and Cheese Bagel Sandwich ,鸡蛋和芝士百吉饼三明治（素）,奶酪鸡蛋三明治
Strawberry Sauce ,草莓酱（素）,草莓酱
Tomato Rice Soup ,番茄米饭汤（素）,番茄米汤
